/home/user/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
Count = 8, TX Power = 3, RSSI = -38 
Count = 9, TX Power = 3, RSSI = -38 
Count = 18, TX Power = 3, RSSI = -46 
Count = 20, TX Power = 3, RSSI = -43 
Count = 21, TX Power = 3, RSSI = -43 
Count = 23, TX Power = 3, RSSI = -42 
Count = 25, TX Power = 3, RSSI = -43 
Count = 28, TX Power = 3, RSSI = -43 
Count = 29, TX Power = 3, RSSI = -42 
Count = 0, TX Power = 7, RSSI = -30 
Count = 1, TX Power = 7, RSSI = -31 
Count = 2, TX Power = 7, RSSI = -31 
Count = 4, TX Power = 7, RSSI = -32 
Count = 5, TX Power = 7, RSSI = -33 
Count = 7, TX Power = 7, RSSI = -32 
Count = 9, TX Power = 7, RSSI = -31 
Count = 10, TX Power = 7, RSSI = -31 
Count = 11, TX Power = 7, RSSI = -32 
Count = 12, TX Power = 7, RSSI = -32 
Count = 13, TX Power = 7, RSSI = -33 
Count = 14, TX Power = 7, RSSI = -33 
Count = 15, TX Power = 7, RSSI = -34 
Count = 17, TX Power = 7, RSSI = -34 
Count = 18, TX Power = 7, RSSI = -32 
Count = 19, TX Power = 7, RSSI = -31 
Count = 20, TX Power = 7, RSSI = -32 
Count = 21, TX Power = 7, RSSI = -32 
Count = 24, TX Power = 7, RSSI = -31 
Count = 25, TX Power = 7, RSSI = -32 
Count = 26, TX Power = 7, RSSI = -34 
Count = 28, TX Power = 7, RSSI = -34 
Count = 30, TX Power = 7, RSSI = -31 
Count = 31, TX Power = 7, RSSI = -33 
Count = 0, TX Power = 11, RSSI = -31 
Count = 2, TX Power = 11, RSSI = -29 
Count = 3, TX Power = 11, RSSI = -30 
Count = 4, TX Power = 11, RSSI = -33 
Count = 5, TX Power = 11, RSSI = -27 
Count = 6, TX Power = 11, RSSI = -24 
Count = 7, TX Power = 11, RSSI = -29 
Count = 8, TX Power = 11, RSSI = -25 
Count = 9, TX Power = 11, RSSI = -25 
Count = 10, TX Power = 11, RSSI = -30 
Count = 12, TX Power = 11, RSSI = -25 
Count = 14, TX Power = 11, RSSI = -25 
Count = 15, TX Power = 11, RSSI = -27 
Count = 16, TX Power = 11, RSSI = -27 
Count = 17, TX Power = 11, RSSI = -27 
Count = 18, TX Power = 11, RSSI = -27 
Count = 19, TX Power = 11, RSSI = -25 
Count = 20, TX Power = 11, RSSI = -26 
Count = 25, TX Power = 11, RSSI = -23 
Count = 26, TX Power = 11, RSSI = -23 
Count = 28, TX Power = 11, RSSI = -22 
Count = 29, TX Power = 11, RSSI = -22 
Count = 30, TX Power = 11, RSSI = -23 
Count = 31, TX Power = 11, RSSI = -23 
Count = 5, TX Power = 15, RSSI = -21 
Count = 6, TX Power = 15, RSSI = -20 
Count = 7, TX Power = 15, RSSI = -19 
Count = 8, TX Power = 15, RSSI = -20 
Count = 10, TX Power = 15, RSSI = -19 
Count = 11, TX Power = 15, RSSI = -19 
Count = 12, TX Power = 15, RSSI = -19 
Count = 13, TX Power = 15, RSSI = -19 
Count = 15, TX Power = 15, RSSI = -26 
Count = 17, TX Power = 15, RSSI = -19 
Count = 18, TX Power = 15, RSSI = -20 
Count = 19, TX Power = 15, RSSI = -21 
Count = 20, TX Power = 15, RSSI = -21 
Count = 22, TX Power = 15, RSSI = -21 
Count = 23, TX Power = 15, RSSI = -24 
Count = 24, TX Power = 15, RSSI = -24 
Count = 25, TX Power = 15, RSSI = -24 
Count = 26, TX Power = 15, RSSI = -23 
Count = 27, TX Power = 15, RSSI = -23 
Count = 28, TX Power = 15, RSSI = -23 
Count = 30, TX Power = 15, RSSI = -24 
Count = 31, TX Power = 15, RSSI = -25 
Count = 0, TX Power = 19, RSSI = -21 
Count = 1, TX Power = 19, RSSI = -23 
Count = 2, TX Power = 19, RSSI = -23 
Count = 3, TX Power = 19, RSSI = -23 
Count = 4, TX Power = 19, RSSI = -22 
Count = 5, TX Power = 19, RSSI = -22 
Count = 7, TX Power = 19, RSSI = -22 
Count = 8, TX Power = 19, RSSI = -23 
Count = 9, TX Power = 19, RSSI = -22 
Count = 10, TX Power = 19, RSSI = -22 
Count = 11, TX Power = 19, RSSI = -21 
Count = 12, TX Power = 19, RSSI = -21 
Count = 13, TX Power = 19, RSSI = -21 
Count = 14, TX Power = 19, RSSI = -20 
Count = 15, TX Power = 19, RSSI = -19 
Count = 16, TX Power = 19, RSSI = -20 
Count = 17, TX Power = 19, RSSI = -20 
Count = 20, TX Power = 19, RSSI = -18 
Count = 22, TX Power = 19, RSSI = -19 
Count = 23, TX Power = 19, RSSI = -19 
Count = 24, TX Power = 19, RSSI = -19 
Count = 25, TX Power = 19, RSSI = -19 
Count = 26, TX Power = 19, RSSI = -18 
Count = 27, TX Power = 19, RSSI = -17 
Count = 29, TX Power = 19, RSSI = -21 
Count = 31, TX Power = 19, RSSI = -20 
Count = 0, TX Power = 23, RSSI = -17 
Count = 6, TX Power = 23, RSSI = -17 
Count = 7, TX Power = 23, RSSI = -17 
Count = 8, TX Power = 23, RSSI = -15 
Count = 9, TX Power = 23, RSSI = -17 
Count = 10, TX Power = 23, RSSI = -17 
Count = 12, TX Power = 23, RSSI = -23 
Count = 16, TX Power = 23, RSSI = -15 
Count = 17, TX Power = 23, RSSI = -19 
Count = 20, TX Power = 23, RSSI = -19 
Count = 22, TX Power = 23, RSSI = -17 
Count = 28, TX Power = 23, RSSI = -17 
Count = 29, TX Power = 23, RSSI = -17 
Count = 30, TX Power = 23, RSSI = -17 
Count = 31, TX Power = 23, RSSI = -17 
Count = 0, TX Power = 27, RSSI = -16 
Count = 1, TX Power = 27, RSSI = -15 
Count = 2, TX Power = 27, RSSI = -15 
Count = 3, TX Power = 27, RSSI = -15 
Count = 5, TX Power = 27, RSSI = -16 
Count = 6, TX Power = 27, RSSI = -16 
Count = 8, TX Power = 27, RSSI = -15 
Count = 9, TX Power = 27, RSSI = -15 
Count = 10, TX Power = 27, RSSI = -15 
Count = 11, TX Power = 27, RSSI = -15 
Count = 12, TX Power = 27, RSSI = -15 
Count = 13, TX Power = 27, RSSI = -15 
Count = 14, TX Power = 27, RSSI = -16 
Count = 15, TX Power = 27, RSSI = -16 
Count = 16, TX Power = 27, RSSI = -16 
Count = 17, TX Power = 27, RSSI = -15 
Count = 18, TX Power = 27, RSSI = -15 
Count = 20, TX Power = 27, RSSI = -15 
Count = 22, TX Power = 27, RSSI = -16 
Count = 24, TX Power = 27, RSSI = -15 
Count = 25, TX Power = 27, RSSI = -16 
Count = 26, TX Power = 27, RSSI = -15 
Count = 29, TX Power = 27, RSSI = -14 
Count = 30, TX Power = 27, RSSI = -13 
Count = 31, TX Power = 27, RSSI = -14 
Count = 0, TX Power = 31, RSSI = -13 
Count = 1, TX Power = 31, RSSI = -13 
Count = 2, TX Power = 31, RSSI = -15 
Count = 3, TX Power = 31, RSSI = -15 
Count = 4, TX Power = 31, RSSI = -15 
Count = 5, TX Power = 31, RSSI = -15 
Count = 6, TX Power = 31, RSSI = -14 
Count = 8, TX Power = 31, RSSI = -15 
Count = 9, TX Power = 31, RSSI = -15 
Count = 11, TX Power = 31, RSSI = -15 
Count = 14, TX Power = 31, RSSI = -15 
Count = 15, TX Power = 31, RSSI = -15 
Count = 16, TX Power = 31, RSSI = -15 
Count = 17, TX Power = 31, RSSI = -15 
Count = 18, TX Power = 31, RSSI = -16 
Count = 19, TX Power = 31, RSSI = -15 
Count = 22, TX Power = 31, RSSI = -10 
Count = 25, TX Power = 31, RSSI = -14 
