/home/user/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
Count = 5, TX Power = 27, RSSI = -17 
Count = 6, TX Power = 27, RSSI = -17 
Count = 7, TX Power = 27, RSSI = -17 
Count = 8, TX Power = 27, RSSI = -17 
Count = 9, TX Power = 27, RSSI = -17 
Count = 10, TX Power = 27, RSSI = -17 
Count = 12, TX Power = 27, RSSI = -19 
Count = 13, TX Power = 27, RSSI = -16 
Count = 15, TX Power = 27, RSSI = -19 
Count = 16, TX Power = 27, RSSI = -19 
Count = 17, TX Power = 27, RSSI = -19 
Count = 18, TX Power = 27, RSSI = -21 
Count = 19, TX Power = 27, RSSI = -21 
Count = 20, TX Power = 27, RSSI = -21 
Count = 21, TX Power = 27, RSSI = -21 
Count = 23, TX Power = 27, RSSI = -19 
Count = 24, TX Power = 27, RSSI = -19 
Count = 25, TX Power = 27, RSSI = -17 
Count = 26, TX Power = 27, RSSI = -17 
Count = 27, TX Power = 27, RSSI = -19 
Count = 28, TX Power = 27, RSSI = -17 
Count = 29, TX Power = 27, RSSI = -17 
Count = 30, TX Power = 27, RSSI = -15 
Count = 31, TX Power = 27, RSSI = -15 
Count = 0, TX Power = 31, RSSI = -15 
Count = 1, TX Power = 31, RSSI = -15 
Count = 3, TX Power = 31, RSSI = -15 
Count = 4, TX Power = 31, RSSI = -17 
Count = 5, TX Power = 31, RSSI = -15 
Count = 6, TX Power = 31, RSSI = -16 
Count = 7, TX Power = 31, RSSI = -15 
Count = 11, TX Power = 31, RSSI = -15 
Count = 14, TX Power = 31, RSSI = -17 
Count = 15, TX Power = 31, RSSI = -17 
Count = 17, TX Power = 31, RSSI = -16 
Count = 18, TX Power = 31, RSSI = -15 
Count = 19, TX Power = 31, RSSI = -17 
Count = 20, TX Power = 31, RSSI = -17 
Count = 21, TX Power = 31, RSSI = -16 
Count = 23, TX Power = 31, RSSI = -16 
Count = 25, TX Power = 31, RSSI = -15 
Count = 26, TX Power = 31, RSSI = -16 
Count = 29, TX Power = 31, RSSI = -15 
Count = 30, TX Power = 31, RSSI = -15 
Count = 31, TX Power = 31, RSSI = -15 
