/home/user/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
Count = 1, TX Power = 7, RSSI = -42 
Count = 2, TX Power = 7, RSSI = -42 
Count = 4, TX Power = 7, RSSI = -42 
Count = 15, TX Power = 7, RSSI = -46 
Count = 29, TX Power = 7, RSSI = -45 
Count = 0, TX Power = 11, RSSI = -35 
Count = 2, TX Power = 11, RSSI = -45 
Count = 5, TX Power = 11, RSSI = -37 
Count = 6, TX Power = 11, RSSI = -39 
Count = 7, TX Power = 11, RSSI = -33 
Count = 9, TX Power = 11, RSSI = -39 
Count = 10, TX Power = 11, RSSI = -43 
Count = 12, TX Power = 11, RSSI = -44 
Count = 14, TX Power = 11, RSSI = -45 
Count = 16, TX Power = 11, RSSI = -40 
Count = 17, TX Power = 11, RSSI = -40 
Count = 18, TX Power = 11, RSSI = -41 
Count = 19, TX Power = 11, RSSI = -40 
Count = 20, TX Power = 11, RSSI = -39 
Count = 21, TX Power = 11, RSSI = -39 
Count = 22, TX Power = 11, RSSI = -38 
Count = 23, TX Power = 11, RSSI = -39 
Count = 24, TX Power = 11, RSSI = -38 
Count = 25, TX Power = 11, RSSI = -38 
Count = 26, TX Power = 11, RSSI = -38 
Count = 27, TX Power = 11, RSSI = -38 
Count = 28, TX Power = 11, RSSI = -37 
Count = 29, TX Power = 11, RSSI = -38 
Count = 30, TX Power = 11, RSSI = -42 
Count = 31, TX Power = 11, RSSI = -41 
Count = 0, TX Power = 15, RSSI = -37 
Count = 2, TX Power = 15, RSSI = -34 
Count = 3, TX Power = 15, RSSI = -36 
Count = 4, TX Power = 15, RSSI = -37 
Count = 6, TX Power = 15, RSSI = -35 
Count = 7, TX Power = 15, RSSI = -34 
Count = 8, TX Power = 15, RSSI = -33 
Count = 9, TX Power = 15, RSSI = -36 
Count = 10, TX Power = 15, RSSI = -34 
Count = 11, TX Power = 15, RSSI = -34 
Count = 12, TX Power = 15, RSSI = -34 
Count = 13, TX Power = 15, RSSI = -35 
Count = 17, TX Power = 15, RSSI = -35 
Count = 18, TX Power = 15, RSSI = -36 
Count = 19, TX Power = 15, RSSI = -37 
Count = 20, TX Power = 15, RSSI = -37 
Count = 21, TX Power = 15, RSSI = -33 
Count = 22, TX Power = 15, RSSI = -31 
Count = 23, TX Power = 15, RSSI = -31 
Count = 25, TX Power = 15, RSSI = -33 
Count = 26, TX Power = 15, RSSI = -35 
Count = 27, TX Power = 15, RSSI = -34 
Count = 28, TX Power = 15, RSSI = -45 
Count = 29, TX Power = 15, RSSI = -41 
Count = 30, TX Power = 15, RSSI = -44 
Count = 0, TX Power = 19, RSSI = -42 
Count = 1, TX Power = 19, RSSI = -34 
Count = 2, TX Power = 19, RSSI = -35 
Count = 3, TX Power = 19, RSSI = -34 
Count = 4, TX Power = 19, RSSI = -35 
Count = 6, TX Power = 19, RSSI = -37 
Count = 7, TX Power = 19, RSSI = -33 
Count = 8, TX Power = 19, RSSI = -31 
Count = 10, TX Power = 19, RSSI = -29 
Count = 11, TX Power = 19, RSSI = -34 
Count = 15, TX Power = 19, RSSI = -38 
Count = 16, TX Power = 19, RSSI = -38 
Count = 17, TX Power = 19, RSSI = -42 
Count = 19, TX Power = 19, RSSI = -40 
Count = 20, TX Power = 19, RSSI = -43 
Count = 21, TX Power = 19, RSSI = -43 
Count = 22, TX Power = 19, RSSI = -40 
Count = 23, TX Power = 19, RSSI = -36 
Count = 25, TX Power = 19, RSSI = -32 
Count = 28, TX Power = 19, RSSI = -37 
Count = 1, TX Power = 23, RSSI = -28 
Count = 3, TX Power = 23, RSSI = -31 
Count = 4, TX Power = 23, RSSI = -33 
Count = 5, TX Power = 23, RSSI = -33 
Count = 6, TX Power = 23, RSSI = -34 
Count = 7, TX Power = 23, RSSI = -33 
Count = 8, TX Power = 23, RSSI = -33 
Count = 9, TX Power = 23, RSSI = -33 
Count = 12, TX Power = 23, RSSI = -34 
Count = 13, TX Power = 23, RSSI = -34 
Count = 14, TX Power = 23, RSSI = -33 
Count = 15, TX Power = 23, RSSI = -33 
Count = 16, TX Power = 23, RSSI = -33 
Count = 17, TX Power = 23, RSSI = -33 
Count = 18, TX Power = 23, RSSI = -31 
Count = 19, TX Power = 23, RSSI = -31 
Count = 20, TX Power = 23, RSSI = -31 
Count = 21, TX Power = 23, RSSI = -31 
Count = 22, TX Power = 23, RSSI = -31 
Count = 23, TX Power = 23, RSSI = -30 
Count = 24, TX Power = 23, RSSI = -31 
Count = 25, TX Power = 23, RSSI = -31 
Count = 26, TX Power = 23, RSSI = -32 
Count = 27, TX Power = 23, RSSI = -31 
Count = 29, TX Power = 23, RSSI = -31 
Count = 31, TX Power = 23, RSSI = -32 
Count = 0, TX Power = 27, RSSI = -31 
Count = 1, TX Power = 27, RSSI = -33 
Count = 4, TX Power = 27, RSSI = -29 
Count = 5, TX Power = 27, RSSI = -31 
Count = 7, TX Power = 27, RSSI = -31 
Count = 8, TX Power = 27, RSSI = -30 
Count = 10, TX Power = 27, RSSI = -29 
Count = 11, TX Power = 27, RSSI = -30 
Count = 12, TX Power = 27, RSSI = -29 
Count = 14, TX Power = 27, RSSI = -31 
Count = 15, TX Power = 27, RSSI = -31 
Count = 16, TX Power = 27, RSSI = -29 
Count = 17, TX Power = 27, RSSI = -30 
Count = 18, TX Power = 27, RSSI = -31 
Count = 19, TX Power = 27, RSSI = -31 
Count = 21, TX Power = 27, RSSI = -31 
Count = 22, TX Power = 27, RSSI = -31 
Count = 23, TX Power = 27, RSSI = -31 
Count = 24, TX Power = 27, RSSI = -31 
Count = 25, TX Power = 27, RSSI = -30 
Count = 26, TX Power = 27, RSSI = -33 
Count = 27, TX Power = 27, RSSI = -31 
Count = 28, TX Power = 27, RSSI = -34 
Count = 29, TX Power = 27, RSSI = -34 
Count = 30, TX Power = 27, RSSI = -30 
Count = 31, TX Power = 27, RSSI = -29 
Count = 0, TX Power = 31, RSSI = -31 
Count = 1, TX Power = 31, RSSI = -31 
Count = 3, TX Power = 31, RSSI = -32 
Count = 4, TX Power = 31, RSSI = -31 
Count = 5, TX Power = 31, RSSI = -33 
Count = 6, TX Power = 31, RSSI = -33 
Count = 7, TX Power = 31, RSSI = -33 
Count = 8, TX Power = 31, RSSI = -33 
Count = 9, TX Power = 31, RSSI = -29 
Count = 10, TX Power = 31, RSSI = -29 
Count = 11, TX Power = 31, RSSI = -30 
Count = 12, TX Power = 31, RSSI = -27 
Count = 14, TX Power = 31, RSSI = -31 
Count = 15, TX Power = 31, RSSI = -31 
Count = 17, TX Power = 31, RSSI = -29 
Count = 19, TX Power = 31, RSSI = -26 
Count = 20, TX Power = 31, RSSI = -29 
Count = 21, TX Power = 31, RSSI = -28 
Count = 22, TX Power = 31, RSSI = -29 
Count = 24, TX Power = 31, RSSI = -27 
Count = 25, TX Power = 31, RSSI = -28 
Count = 27, TX Power = 31, RSSI = -28 
Count = 28, TX Power = 31, RSSI = -29 
Count = 29, TX Power = 31, RSSI = -27 
Count = 30, TX Power = 31, RSSI = -26 
